instrument_key,symbol,sector,industry,basic_industry
INE0SGR01013,SHIVAM,Fast Moving Consumer Goods,Food Products,Animal Feed
INE0SDC01012,EMMFORCE,Automobile and Auto Components,Auto Components,Auto Components & Equipments
INE0OAF01028,JNKINDIA,Capital Goods,Industrial Manufacturing,Industrial Products
INE0R6801013,VARYAA,Consumer Durables,Consumer Durables,"Gems, Jewellery And Watches"
INE0QSB01016,AMKAY,Healthcare,Healthcare Equipment & Supplies,Medical Equipment & Supplies
INE0QXT01018,DKUAL,Consumer Durables,Consumer Durables,Household Appliances
INE0RGM01016,STAL,Capital Goods,Industrial Products,Other Industrial Products
INE065X01017,INDGN,Healthcare,Healthcare Services,"Healthcare Research, Analytics & Technology"
INE0QOQ01013,FTL,Consumer Services,Retailing,E-Retail/ E-Commerce
INE673O01025,TBOTEK,Consumer Services,Leisure Services,"Tour, Travel Related Services"
INE0SMU01015,TGIF,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products
INE883F01010,AADHARHFC,Financial Services,Finance,Housing Finance Company
INE0SCB01016,AZTEC,Information Technology,IT - Hardware,Computers Hardware & Equipments
INE0R4W01015,PIOTEX,Textiles,Textiles & Apparels,Other Textile Products
INE03JT01014,GODIGIT,Financial Services,Insurance,General Insurance
INE108V01019,AWFIS,Services,Commercial Services & Supplies,Diversified Commercial Services
INE0RIQ01013,ASSOCIATED,Capital Goods,Industrial Products,Other Industrial Products
INE02L001032,BOROSCI,Capital Goods,Industrial Products,Glass - Industrial
INE257C01014,ADTECH,Capital Goods,Industrial Manufacturing,Industrial Products
INE0TT901016,TOTEM,Capital Goods,Industrial Manufacturing,Industrial Products
INE0ATZ01017,KRONOX,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
INE0QZ901011,MAGENTA,Consumer Durables,Consumer Durables,"Furniture, Home Furnishing"
INE0QUV01010,SATTRIX,Information Technology,IT - Services,IT Enabled Services
INE0R7D01018,3CIT,Information Technology,IT - Services,IT Enabled Services
INE0CYK01015,PURPLEFIN,Financial Services,Finance,Non Banking Financial Company (NBFC)
INE0HV901016,IXIGO,Consumer Services,Leisure Services,"Tour, Travel Related Services"
INE0S0I01011,COTFAB,Textiles,Textiles & Apparels,Other Textile Products
INE03DD01011,RETAIL,Consumer Services,Retailing,Diversified Retail
INE841L01016,DEEDEV,Capital Goods,Industrial Manufacturing,Industrial Products
INE0RUJ01013,GEMENVIRO,Utilities,Other Utilities,Waste Management
INE916Y01027,AFIL,Financial Services,Finance,Non Banking Financial Company (NBFC)
INE0S6R01027,DFPL,Fast Moving Consumer Goods,Food Products,Dairy Products
INE01A001028,STANLEY,Consumer Durables,Consumer Durables,"Furniture, Home Furnishing"
INE552Z01027,ABDL,Fast Moving Consumer Goods,Beverages,Breweries & Distilleries
INE0S2V01010,VRAJ,Metals & Mining,Ferrous Metals,Sponge Iron
INE0PO601011,NPL,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals
INE375Y01018,RELIABLE,Financial Services,Finance,Other Financial Services
INE0B9K01025,BANSALWIRE,Capital Goods,Industrial Products,Iron & Steel Products
INE168P01015,EMCURE,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
INE0T3401029,ACLD,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products
INE0UK501010,THREEMPAPE,Forest Materials,"Paper, Forest & Jute Products",Paper & Paper Products
INE08NE01025,SANSTAR,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products
INE0MNP01016,VVIPIL,Utilities,Other Utilities,Waste Management
INE0QMR01015,CTLLAB,Healthcare,Healthcare Services,Healthcare Service Provider
INE0RMR01013,KIZI,Textiles,Textiles & Apparels,Garments & Apparels
